Experiment_ID,Method_Category,Features,K-Fold,CV_Reward_0.85,CV_Avg_Performance,CV_Avg_Cost,Model_Distribution,Public_Kaggle_Score
random_forest,cost_sensitive,dense_all-MiniLM-L6-v2,5,0.4498,0.5321,0.0013,"{'Model_K': 10054, 'Model_E': 43, 'Model_D': 36, 'Model_C': 23, 'Model_J': 10, 'Model_H': 8, 'Model_I': 3, 'Model_B': 2, 'Model_F': 2, 'Model_G': 1}",
lightgbm,regression,dense_all-MiniLM-L6-v2,5,0.4497,0.5606,0.0138,"{'Model_K': 2660, 'Model_H': 1749, 'Model_F': 1323, 'Model_B': 951, 'Model_D': 880, 'Model_J': 647, 'Model_I': 484, 'Model_G': 420, 'Model_C': 399, 'Model_E': 360, 'Model_A': 309}",
random_forest,regression,tfidf_max30000_ng1-3,10,0.4494,0.5597,0.0136,"{'Model_K': 2592, 'Model_H': 1627, 'Model_F': 1288, 'Model_B': 997, 'Model_D': 786, 'Model_I': 764, 'Model_J': 602, 'Model_C': 404, 'Model_G': 391, 'Model_A': 382, 'Model_E': 349}",
random_forest,cost_sensitive,svd_comp1000_tfidf30000_ng1-3,10,0.449,0.541,0.0056,"{'Model_K': 9585, 'Model_H': 345, 'Model_C': 55, 'Model_E': 44, 'Model_D': 42, 'Model_J': 36, 'Model_F': 26, 'Model_G': 18, 'Model_I': 13, 'Model_B': 10, 'Model_A': 8}",
random_forest,classification,dense_all-MiniLM-L6-v2,5,0.4488,0.531,0.0013,"{'Model_K': 9739, 'Model_E': 172, 'Model_D': 127, 'Model_C': 118, 'Model_J': 11, 'Model_H': 8, 'Model_I': 2, 'Model_B': 2, 'Model_F': 2, 'Model_G': 1}",
random_forest,classification,tfidf_max30000_ng1-3,10,0.4488,0.5316,0.0016,"{'Model_K': 8920, 'Model_E': 468, 'Model_C': 375, 'Model_D': 201, 'Model_J': 76, 'Model_F': 40, 'Model_I': 31, 'Model_H': 26, 'Model_G': 18, 'Model_B': 18, 'Model_A': 9}",
random_forest,classification,dense_Qwen-Qwen3-Embedding-8B,10,0.4487,0.5308,0.0013,"{'Model_K': 9693, 'Model_E': 242, 'Model_D': 121, 'Model_C': 111, 'Model_H': 6, 'Model_J': 3, 'Model_F': 2, 'Model_B': 2, 'Model_I': 1, 'Model_A': 1}",
random_forest,classification,svd_comp1000_tfidf30000_ng1-3,10,0.4487,0.5312,0.0015,"{'Model_K': 9654, 'Model_E': 170, 'Model_C': 125, 'Model_D': 115, 'Model_J': 38, 'Model_I': 18, 'Model_F': 18, 'Model_H': 13, 'Model_G': 11, 'Model_B': 11, 'Model_A': 9}",
SFT_distilbert-base-uncased,SFT_Classifier,text_tokens,5,0.4487,0.5304,0.0011,"{'Model_K': 9485, 'Model_C': 604, 'Model_E': 93}",
lightgbm,cost_sensitive,svd_comp1000_tfidf30000_ng1-3,10,0.4485,0.5488,0.0092,"{'Model_K': 7832, 'Model_H': 819, 'Model_C': 475, 'Model_D': 393, 'Model_F': 207, 'Model_E': 172, 'Model_J': 150, 'Model_G': 55, 'Model_B': 38, 'Model_I': 25, 'Model_A': 16}",
